sourceId,endpointId
dbpedia-20151025,dbpedia
dbpedia-20151124,dbpedia
dbpedia-20151126,dbpedia
dbpedia-20151213,dbpedia
dbpedia-20151230,dbpedia
dbpedia-20160117,dbpedia
dbpedia-20160212,dbpedia
dbpedia-20160222,dbpedia
dbpedia-20160301,dbpedia
dbpedia-20160303,dbpedia
dbpedia-20160304,dbpedia
dbpedia-20160314,dbpedia
dbpedia-20160411,dbpedia
dbpedia-2010,dbpedia
wikidata-organic-1,wikidata
wikidata-organic-2,wikidata
wikidata-organic-3,wikidata
wikidata-organic-4,wikidata
wikidata-organic-5,wikidata
wikidata-organic-6,wikidata
wikidata-organic-7,wikidata
bio2rdf-affymetrix,bio2rdf-affymetrix
bio2rdf-biomodels,bio2rdf-biomodels
bio2rdf-bioportal,bio2rdf-bioportal
bio2rdf-ctd,bio2rdf-ctd
bio2rdf-dbsnp,bio2rdf-dbsnp
bio2rdf-drugbank,bio2rdf-drugbank
bio2rdf-genage,bio2rdf-genage
bio2rdf-gendr,bio2rdf-gendr
bio2rdf-geneid,bio2rdf-geneid
bio2rdf-goa,bio2rdf-goa
bio2rdf-hgnc,bio2rdf-hgnc
bio2rdf-homologene,bio2rdf-homologene
bio2rdf-irefindex,bio2rdf-irefindex
bio2rdf-kegg,bio2rdf-kegg
bio2rdf-linkedspl,bio2rdf-linkedspl
bio2rdf-mgi,bio2rdf-mgi
bio2rdf-ncbigene,bio2rdf-ncbigene
bio2rdf-omim,bio2rdf-omim
bio2rdf-pharmgkb,bio2rdf-pharmgkb
bio2rdf-sabiork,bio2rdf-sabiork
bio2rdf-sgd,bio2rdf-sgd
bio2rdf-sider,bio2rdf-sider
bio2rdf-taxonomy,bio2rdf-taxonomy
bio2rdf-wormbase,bio2rdf-wormbase
lgd,lgd
swdf,swdf
